system:index,area_km2,from_class,interval_duration_yrs,region,to_class,year_final,year_initial,.geo
0,414739.10616056016,1,5,WAF,1,2005,2000,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,3938.245057682095,1,5,WAF,2,2005,2000,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,3408.662140335049,1,5,WAF,3,2005,2000,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,13229.268512286379,1,5,WAF,4,2005,2000,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,0.9428275078735352,1,5,WAF,5,2005,2000,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,255.77651453701912,1,5,WAF,6,2005,2000,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,972.4078275236025,1,5,WAF,7,2005,2000,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,682.2297755865912,1,5,WAF,8,2005,2000,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,2.7912855138549806,1,5,WAF,9,2005,2000,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,5604.021504648233,2,5,WAF,1,2005,2000,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,4505897.855322929,2,5,WAF,2,2005,2000,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,26019.001813597988,2,5,WAF,3,2005,2000,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,6483.158884522983,2,5,WAF,4,2005,2000,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,1.509032216430664,2,5,WAF,5,2005,2000,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,28621.766446108148,2,5,WAF,6,2005,2000,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,3662.558569166372,2,5,WAF,7,2005,2000,"{""type"":""MultiPoint"",""coordinates"":[]}"
16,353.93681806020356,2,5,WAF,8,2005,2000,"{""type"":""MultiPoint"",""coordinates"":[]}"
17,260.6572868604267,2,5,WAF,9,2005,2000,"{""type"":""MultiPoint"",""coordinates"":[]}"
18,5496.03622450683,3,5,WAF,1,2005,2000,"{""type"":""MultiPoint"",""coordinates"":[]}"
19,14506.439897402408,3,5,WAF,2,2005,2000,"{""type"":""MultiPoint"",""coordinates"":[]}"
20,847555.643196281,3,5,WAF,3,2005,2000,"{""type"":""MultiPoint"",""coordinates"":[]}"
21,17892.391928421755,3,5,WAF,4,2005,2000,"{""type"":""MultiPoint"",""coordinates"":[]}"
22,0.27076159088134766,3,5,WAF,5,2005,2000,"{""type"":""MultiPoint"",""coordinates"":[]}"
23,698.0335858006925,3,5,WAF,6,2005,2000,"{""type"":""MultiPoint"",""coordinates"":[]}"
24,963.2224957675317,3,5,WAF,7,2005,2000,"{""type"":""MultiPoint"",""coordinates"":[]}"
25,237.57897369967688,3,5,WAF,8,2005,2000,"{""type"":""MultiPoint"",""coordinates"":[]}"
26,64.94635277161196,3,5,WAF,9,2005,2000,"{""type"":""MultiPoint"",""coordinates"":[]}"
27,10887.293012215605,4,5,WAF,1,2005,2000,"{""type"":""MultiPoint"",""coordinates"":[]}"
28,5490.835398924819,4,5,WAF,2,2005,2000,"{""type"":""MultiPoint"",""coordinates"":[]}"
29,11864.46943197044,4,5,WAF,3,2005,2000,"{""type"":""MultiPoint"",""coordinates"":[]}"
30,1045350.5480259884,4,5,WAF,4,2005,2000,"{""type"":""MultiPoint"",""coordinates"":[]}"
31,6.739618582544902,4,5,WAF,5,2005,2000,"{""type"":""MultiPoint"",""coordinates"":[]}"
32,1550.0242262238937,4,5,WAF,6,2005,2000,"{""type"":""MultiPoint"",""coordinates"":[]}"
33,1589.688514619391,4,5,WAF,7,2005,2000,"{""type"":""MultiPoint"",""coordinates"":[]}"
34,6689.464541140812,4,5,WAF,8,2005,2000,"{""type"":""MultiPoint"",""coordinates"":[]}"
35,253.96980817701936,4,5,WAF,9,2005,2000,"{""type"":""MultiPoint"",""coordinates"":[]}"
36,0.36795233239746095,5,5,WAF,1,2005,2000,"{""type"":""MultiPoint"",""coordinates"":[]}"
37,3.0134088841552735,5,5,WAF,2,2005,2000,"{""type"":""MultiPoint"",""coordinates"":[]}"
38,0.5654497739868164,5,5,WAF,3,2005,2000,"{""type"":""MultiPoint"",""coordinates"":[]}"
39,10.783391280517579,5,5,WAF,4,2005,2000,"{""type"":""MultiPoint"",""coordinates"":[]}"
40,243.2474904351742,5,5,WAF,5,2005,2000,"{""type"":""MultiPoint"",""coordinates"":[]}"
41,0.1895260478515625,5,5,WAF,6,2005,2000,"{""type"":""MultiPoint"",""coordinates"":[]}"
42,0.344127639831543,5,5,WAF,7,2005,2000,"{""type"":""MultiPoint"",""coordinates"":[]}"
43,8.107417708068848,5,5,WAF,8,2005,2000,"{""type"":""MultiPoint"",""coordinates"":[]}"
44,0.05760936358642578,5,5,WAF,9,2005,2000,"{""type"":""MultiPoint"",""coordinates"":[]}"
45,262.7926839958714,6,5,WAF,1,2005,2000,"{""type"":""MultiPoint"",""coordinates"":[]}"
46,30073.918350896707,6,5,WAF,2,2005,2000,"{""type"":""MultiPoint"",""coordinates"":[]}"
47,852.3445727284352,6,5,WAF,3,2005,2000,"{""type"":""MultiPoint"",""coordinates"":[]}"
48,1528.3894796005934,6,5,WAF,4,2005,2000,"{""type"":""MultiPoint"",""coordinates"":[]}"
49,0.17336480017089845,6,5,WAF,5,2005,2000,"{""type"":""MultiPoint"",""coordinates"":[]}"
50,180144.22917048234,6,5,WAF,6,2005,2000,"{""type"":""MultiPoint"",""coordinates"":[]}"
51,38.27220483812998,6,5,WAF,7,2005,2000,"{""type"":""MultiPoint"",""coordinates"":[]}"
52,347.69783989490895,6,5,WAF,8,2005,2000,"{""type"":""MultiPoint"",""coordinates"":[]}"
53,3538.8355835009133,6,5,WAF,9,2005,2000,"{""type"":""MultiPoint"",""coordinates"":[]}"
54,799.540928263012,7,5,WAF,1,2005,2000,"{""type"":""MultiPoint"",""coordinates"":[]}"
55,2578.9754731932867,7,5,WAF,2,2005,2000,"{""type"":""MultiPoint"",""coordinates"":[]}"
56,614.6010354343623,7,5,WAF,3,2005,2000,"{""type"":""MultiPoint"",""coordinates"":[]}"
57,1068.8737976507707,7,5,WAF,4,2005,2000,"{""type"":""MultiPoint"",""coordinates"":[]}"
58,0.1734952291870117,7,5,WAF,5,2005,2000,"{""type"":""MultiPoint"",""coordinates"":[]}"
59,53.55230357034768,7,5,WAF,6,2005,2000,"{""type"":""MultiPoint"",""coordinates"":[]}"
60,26123.782223763512,7,5,WAF,7,2005,2000,"{""type"":""MultiPoint"",""coordinates"":[]}"
61,44.19372311309719,7,5,WAF,8,2005,2000,"{""type"":""MultiPoint"",""coordinates"":[]}"
62,5.484382475812126,7,5,WAF,9,2005,2000,"{""type"":""MultiPoint"",""coordinates"":[]}"
63,231.94018850545297,8,5,WAF,1,2005,2000,"{""type"":""MultiPoint"",""coordinates"":[]}"
64,340.0306988649266,8,5,WAF,2,2005,2000,"{""type"":""MultiPoint"",""coordinates"":[]}"
65,340.32481521222593,8,5,WAF,3,2005,2000,"{""type"":""MultiPoint"",""coordinates"":[]}"
66,4434.860567347518,8,5,WAF,4,2005,2000,"{""type"":""MultiPoint"",""coordinates"":[]}"
67,3.98688402722168,8,5,WAF,5,2005,2000,"{""type"":""MultiPoint"",""coordinates"":[]}"
68,244.47115319797126,8,5,WAF,6,2005,2000,"{""type"":""MultiPoint"",""coordinates"":[]}"
69,47.47481266079222,8,5,WAF,7,2005,2000,"{""type"":""MultiPoint"",""coordinates"":[]}"
70,189141.12398095985,8,5,WAF,8,2005,2000,"{""type"":""MultiPoint"",""coordinates"":[]}"
71,52.611300188273596,8,5,WAF,9,2005,2000,"{""type"":""MultiPoint"",""coordinates"":[]}"
72,11.630619759362315,9,5,WAF,1,2005,2000,"{""type"":""MultiPoint"",""coordinates"":[]}"
73,210.24783555187747,9,5,WAF,2,2005,2000,"{""type"":""MultiPoint"",""coordinates"":[]}"
74,86.34852091419104,9,5,WAF,3,2005,2000,"{""type"":""MultiPoint"",""coordinates"":[]}"
75,305.7963331168678,9,5,WAF,4,2005,2000,"{""type"":""MultiPoint"",""coordinates"":[]}"
76,0.29150780499267576,9,5,WAF,5,2005,2000,"{""type"":""MultiPoint"",""coordinates"":[]}"
77,5589.28905557909,9,5,WAF,6,2005,2000,"{""type"":""MultiPoint"",""coordinates"":[]}"
