system:index,area_km2,from_class,interval_duration_yrs,region,to_class,year_final,year_initial,.geo
0,216310.11471326,1,5,SAF,1,1990,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,1649.3052338036832,1,5,SAF,2,1990,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,8670.402538568509,1,5,SAF,3,1990,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,2927.8620508475565,1,5,SAF,4,1990,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,115.51977659051943,1,5,SAF,6,1990,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,103.10417522432239,1,5,SAF,7,1990,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,80.56422324061398,1,5,SAF,8,1990,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,34.82164898650549,1,5,SAF,9,1990,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,1979.1017939897001,2,5,SAF,1,1990,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,2214107.2922752923,2,5,SAF,2,1990,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,14581.034658932193,2,5,SAF,3,1990,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,4798.109963642148,2,5,SAF,4,1990,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,20942.261253710305,2,5,SAF,6,1990,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,165.69751545578495,2,5,SAF,7,1990,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,31.565436575012445,2,5,SAF,8,1990,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,84.28542800357667,2,5,SAF,9,1990,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
16,5951.888212582006,3,5,SAF,1,1990,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
17,12610.224871225131,3,5,SAF,2,1990,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
18,1880519.5082505054,3,5,SAF,3,1990,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
19,18110.271916424284,3,5,SAF,4,1990,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
20,4811.334992628259,3,5,SAF,6,1990,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
21,448.62482913235294,3,5,SAF,7,1990,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
22,2510.9113306442305,3,5,SAF,8,1990,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
23,210.65495509115422,3,5,SAF,9,1990,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
24,2088.236890487127,4,5,SAF,1,1990,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
25,4028.7119337114664,4,5,SAF,2,1990,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
26,20454.91135532266,4,5,SAF,3,1990,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
27,933918.4250135688,4,5,SAF,4,1990,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
28,5422.676272266924,4,5,SAF,6,1990,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
29,196.7808006570176,4,5,SAF,7,1990,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
30,2839.202756260117,4,5,SAF,8,1990,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
31,50.77803211167807,4,5,SAF,9,1990,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
32,12.705559090637207,6,5,SAF,1,1990,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
33,673.2777919493273,6,5,SAF,2,1990,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
34,582.7687233779907,6,5,SAF,3,1990,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
35,100.40398977935791,6,5,SAF,4,1990,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
36,33511.03506139589,6,5,SAF,6,1990,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
37,2.788273929186293,6,5,SAF,7,1990,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
38,3.0787963388061526,6,5,SAF,8,1990,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
39,510.4697730365984,6,5,SAF,9,1990,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
40,0.003436947692871094,7,5,SAF,1,1990,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
