system:index,area_km2,from_class,interval_duration_yrs,region,to_class,year_final,year_initial,.geo
0,240168.7364217541,1,5,MED,1,2005,2000,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,1896.5862435106696,1,5,MED,2,2005,2000,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,2084.055032176621,1,5,MED,3,2005,2000,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,20.391320389326268,1,5,MED,4,2005,2000,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,18.531316763654402,1,5,MED,5,2005,2000,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,190.80396267476203,1,5,MED,6,2005,2000,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,1504.9063244232314,1,5,MED,7,2005,2000,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,9394.907511504334,1,5,MED,8,2005,2000,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,46.015709189123776,1,5,MED,9,2005,2000,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,2300.7488935544507,2,5,MED,1,2005,2000,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,35663.47950382416,2,5,MED,2,2005,2000,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,1001.1770862506214,2,5,MED,3,2005,2000,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,1.149469758972168,2,5,MED,4,2005,2000,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,0.12275953576660156,2,5,MED,5,2005,2000,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,16.125999149798705,2,5,MED,6,2005,2000,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,41.80036685630767,2,5,MED,7,2005,2000,"{""type"":""MultiPoint"",""coordinates"":[]}"
16,464.64564024338017,2,5,MED,8,2005,2000,"{""type"":""MultiPoint"",""coordinates"":[]}"
17,8.990655823463111,2,5,MED,9,2005,2000,"{""type"":""MultiPoint"",""coordinates"":[]}"
18,2508.9281651009856,3,5,MED,1,2005,2000,"{""type"":""MultiPoint"",""coordinates"":[]}"
19,1053.474597615228,3,5,MED,2,2005,2000,"{""type"":""MultiPoint"",""coordinates"":[]}"
20,35622.57073503471,3,5,MED,3,2005,2000,"{""type"":""MultiPoint"",""coordinates"":[]}"
21,0.6755331506642062,3,5,MED,4,2005,2000,"{""type"":""MultiPoint"",""coordinates"":[]}"
22,0.5426209049072266,3,5,MED,5,2005,2000,"{""type"":""MultiPoint"",""coordinates"":[]}"
23,13.656047627328912,3,5,MED,6,2005,2000,"{""type"":""MultiPoint"",""coordinates"":[]}"
24,75.05954204509923,3,5,MED,7,2005,2000,"{""type"":""MultiPoint"",""coordinates"":[]}"
