system:index,area_km2,from_class,interval_duration_yrs,region,to_class,year_final,year_initial,.geo
0,248924.98440201054,1,5,MED,1,1990,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,862.9753534341557,1,5,MED,2,1990,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,976.9154188351336,1,5,MED,3,1990,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,20.174961103984515,1,5,MED,4,1990,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,298.54686766581506,1,5,MED,6,1990,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,219.24948248398462,1,5,MED,7,1990,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,7523.706244451889,1,5,MED,8,1990,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,51.568342656116684,1,5,MED,9,1990,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,1080.1581775680575,2,5,MED,1,1990,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,39586.370973576355,2,5,MED,2,1990,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,480.4194352266673,2,5,MED,3,1990,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,5.570850498352529,2,5,MED,4,1990,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,14.343215521452066,2,5,MED,6,1990,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,14.441636074482757,2,5,MED,7,1990,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,25.96232311554769,2,5,MED,8,1990,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,4.070845846968827,2,5,MED,9,1990,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
16,1162.469914978216,3,5,MED,1,1990,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
17,312.28174465511665,3,5,MED,2,1990,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
18,35932.98952803813,3,5,MED,3,1990,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
19,1.1309201928129309,3,5,MED,4,1990,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
20,8.04201561025175,3,5,MED,6,1990,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
21,13.841518667280607,3,5,MED,7,1990,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
22,240.39844052744218,3,5,MED,8,1990,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
23,3.6577807141187484,3,5,MED,9,1990,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
24,14.12876093505285,4,5,MED,1,1990,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
25,1.6034891817741843,4,5,MED,2,1990,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
26,1.5455523219652363,4,5,MED,3,1990,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
27,111.87454138345132,4,5,MED,4,1990,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
28,0.32485570076904297,4,5,MED,6,1990,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
29,10.900665765686036,4,5,MED,7,1990,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
30,1.4333301997137333,4,5,MED,8,1990,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
31,0.0751843226433249,4,5,MED,9,1990,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
32,88.20370151938575,6,5,MED,1,1990,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
33,10.672924732657636,6,5,MED,2,1990,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
34,6.193449680303837,6,5,MED,3,1990,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
35,1.6449541822509766,6,5,MED,4,1990,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
36,4165.474453511962,6,5,MED,6,1990,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
37,2.3783256147963576,6,5,MED,7,1990,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
38,529.8459009759633,6,5,MED,8,1990,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
39,131.65722564866252,6,5,MED,9,1990,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
40,0.6973397239846623,7,5,MED,6,1990,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
41,4427.118734067213,7,5,MED,7,1990,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
42,0.0940201493197572,7,5,MED,9,1990,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
43,7907.9687726557195,8,5,MED,1,1990,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
44,10.432873850183583,8,5,MED,2,1990,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
45,138.60960292524555,8,5,MED,3,1990,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
46,3.558318058896293,8,5,MED,4,1990,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
47,1705.1328201780593,8,5,MED,6,1990,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
48,137.2161424146027,8,5,MED,7,1990,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
49,1305715.503128467,8,5,MED,8,1990,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
50,188.07015626567568,8,5,MED,9,1990,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
51,41.47542300346846,9,5,MED,1,1990,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
52,10.795907405216953,9,5,MED,2,1990,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
53,1.07229334360184,9,5,MED,3,1990,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
54,0.1458978843924728,9,5,MED,4,1990,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
55,649.1512057935412,9,5,MED,6,1990,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
