system:index,area_km2,from_class,interval_duration_yrs,region,to_class,year_final,year_initial,.geo
0,244656.05841682066,1,5,MED,1,2020,2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,2462.4961317799657,1,5,MED,2,2020,2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,2173.141371567233,1,5,MED,3,2020,2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,24.64209848253868,1,5,MED,4,2020,2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,14.151668690778903,1,5,MED,5,2020,2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,113.44287140574255,1,5,MED,6,2020,2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,1215.9833874910832,1,5,MED,7,2020,2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,12694.849047523607,1,5,MED,8,2020,2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,46.10239430659276,1,5,MED,9,2020,2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,2306.0577662862065,2,5,MED,1,2020,2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,35658.19302201802,2,5,MED,2,2020,2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,1245.5876040558605,2,5,MED,3,2020,2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,1.2737210654689415,2,5,MED,4,2020,2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,1.562548016357422,2,5,MED,5,2020,2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,12.227382932464245,2,5,MED,6,2020,2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,27.18791845142248,2,5,MED,7,2020,2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
16,610.9797637858633,2,5,MED,8,2020,2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
17,11.09234523444561,2,5,MED,9,2020,2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
18,2033.7437001418384,3,5,MED,1,2020,2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
19,978.9169893003823,3,5,MED,2,2020,2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
20,35803.192714232915,3,5,MED,3,2020,2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
21,0.8142729381713867,3,5,MED,4,2020,2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
22,3.3452728439331056,3,5,MED,5,2020,2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
23,8.485635553958431,3,5,MED,6,2020,2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
