system:index,area_km2,from_class,interval_duration_yrs,region,to_class,year_final,year_initial,.geo
0,262411.637950493,1,2,SAF,1,2022,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,8194.760164581046,1,2,SAF,2,2022,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,11886.133640507338,1,2,SAF,3,2022,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,5176.107179205894,1,2,SAF,4,2022,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,26.56606588047521,1,2,SAF,5,2022,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,327.93297744492696,1,2,SAF,6,2022,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,489.2904534458397,1,2,SAF,7,2022,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,233.79179338078742,1,2,SAF,8,2022,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,79.76495884333208,1,2,SAF,9,2022,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,7396.566862873513,2,2,SAF,1,2022,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,1989239.1119200191,2,2,SAF,2,2022,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,35061.436460324716,2,2,SAF,3,2022,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,10278.652233330404,2,2,SAF,4,2022,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,6.630385362791772,2,2,SAF,5,2022,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,3851.3744551974987,2,2,SAF,6,2022,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,489.6955410248254,2,2,SAF,7,2022,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
16,448.7751305385124,2,2,SAF,8,2022,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
17,141.93703197746103,2,2,SAF,9,2022,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
18,13459.813900665324,3,2,SAF,1,2022,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
19,39182.21324992888,3,2,SAF,2,2022,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
20,1884950.963021011,3,2,SAF,3,2022,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
21,37880.747894769454,3,2,SAF,4,2022,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
22,117.74460993634273,3,2,SAF,5,2022,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
23,1843.7970873108027,3,2,SAF,6,2022,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
24,1101.3402228772645,3,2,SAF,7,2022,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
25,4433.8327005445135,3,2,SAF,8,2022,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
26,183.98218600584383,3,2,SAF,9,2022,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
27,3647.1848022952563,4,2,SAF,1,2022,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
28,15345.935709261823,4,2,SAF,2,2022,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
29,40423.190207786705,4,2,SAF,3,2022,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
30,935329.2215462488,4,2,SAF,4,2022,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
31,100.81464352671641,4,2,SAF,5,2022,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
32,1028.3339910436055,4,2,SAF,6,2022,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
33,662.9554729386782,4,2,SAF,7,2022,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
34,4946.469256830345,4,2,SAF,8,2022,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
35,191.1992452934712,4,2,SAF,9,2022,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
36,9.855524437676644,5,2,SAF,1,2022,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
37,4.030124165527344,5,2,SAF,2,2022,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
38,119.70951699817446,5,2,SAF,3,2022,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
39,123.39078046156172,5,2,SAF,4,2022,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
40,521.7130210427899,5,2,SAF,5,2022,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
41,4.489429784133732,5,2,SAF,6,2022,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
42,6.016659288204657,5,2,SAF,7,2022,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
43,125.84754098067746,5,2,SAF,8,2022,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
44,2.093793694519043,5,2,SAF,9,2022,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
45,443.2138726030024,6,2,SAF,1,2022,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
46,4347.735119510929,6,2,SAF,2,2022,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
47,1908.9039553628502,6,2,SAF,3,2022,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
48,1057.2982445586517,6,2,SAF,4,2022,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
49,7.056121308048981,6,2,SAF,5,2022,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
50,79050.2889333522,6,2,SAF,6,2022,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
51,35.16134601857145,6,2,SAF,7,2022,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
52,868.2722516535695,6,2,SAF,8,2022,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
53,2188.518125107885,6,2,SAF,9,2022,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
54,531.6540647122703,7,2,SAF,1,2022,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
55,463.0230989107275,7,2,SAF,2,2022,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
56,1194.9563730365344,7,2,SAF,3,2022,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
57,921.9923266008919,7,2,SAF,4,2022,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
58,13.235328163709934,7,2,SAF,5,2022,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
59,39.135207022650256,7,2,SAF,6,2022,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
60,23997.814895622287,7,2,SAF,7,2022,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
61,474.86624694304084,7,2,SAF,8,2022,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
62,21.218341231860588,7,2,SAF,9,2022,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
63,247.9449828327249,8,2,SAF,1,2022,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
64,454.0798386933042,8,2,SAF,2,2022,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
65,4734.8739364061385,8,2,SAF,3,2022,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
66,5296.056521615939,8,2,SAF,4,2022,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
67,153.90675586889458,8,2,SAF,5,2022,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
68,1088.9176887588437,8,2,SAF,6,2022,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
69,610.5719965829219,8,2,SAF,7,2022,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
70,407641.04555810604,8,2,SAF,8,2022,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
71,101.13589989651338,8,2,SAF,9,2022,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
72,34.45179380145718,9,2,SAF,1,2022,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
73,44.95817436795582,9,2,SAF,2,2022,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
74,44.97315519506908,9,2,SAF,3,2022,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
75,28.437409940566358,9,2,SAF,4,2022,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
76,2.8635553603515627,9,2,SAF,5,2022,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
77,855.4333261083526,9,2,SAF,6,2022,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
78,14.400587090451946,9,2,SAF,7,2022,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
79,70.40899761750633,9,2,SAF,8,2022,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
80,45313.86574551846,9,2,SAF,9,2022,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
