system:index,area_km2,from_class,interval_duration_yrs,region,to_class,year_final,year_initial,.geo
0,533622.5128117182,1,5,EAF,1,1995,1990,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,3282.160174964722,1,5,EAF,2,1995,1990,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,8060.730206367306,1,5,EAF,3,1995,1990,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,7744.113733274927,1,5,EAF,4,1995,1990,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,317.48994493795686,1,5,EAF,6,1995,1990,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,150.2283619793287,1,5,EAF,7,1995,1990,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,1378.1452155832872,1,5,EAF,8,1995,1990,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,19.06470378681545,1,5,EAF,9,1995,1990,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,5275.49905667837,2,5,EAF,1,1995,1990,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,2428416.0634490997,2,5,EAF,2,1995,1990,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,15054.206878537208,2,5,EAF,3,1995,1990,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,489.57885107070217,2,5,EAF,4,1995,1990,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,5667.809810319233,2,5,EAF,6,1995,1990,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,76.51406536514078,2,5,EAF,7,1995,1990,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,200.63923102658617,2,5,EAF,8,1995,1990,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,64.32859249142444,2,5,EAF,9,1995,1990,"{""type"":""MultiPoint"",""coordinates"":[]}"
16,10664.55123668901,3,5,EAF,1,1995,1990,"{""type"":""MultiPoint"",""coordinates"":[]}"
17,9681.627934180695,3,5,EAF,2,1995,1990,"{""type"":""MultiPoint"",""coordinates"":[]}"
18,1540770.0784264056,3,5,EAF,3,1995,1990,"{""type"":""MultiPoint"",""coordinates"":[]}"
