system:index,area_km2,from_class,interval_duration_yrs,region,to_class,year_final,year_initial,.geo
0,485753.48850704066,1,5,EAF,1,2000,1995,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,26849.404650168315,1,5,EAF,2,2000,1995,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,27987.078586566902,1,5,EAF,3,2000,1995,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,9790.962106946425,1,5,EAF,4,2000,1995,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,84.29391675706381,1,5,EAF,5,2000,1995,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,1201.4407795830962,1,5,EAF,6,2000,1995,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,4582.211350530844,1,5,EAF,7,2000,1995,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,2505.8719166967626,1,5,EAF,8,2000,1995,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,66.66988838865367,1,5,EAF,9,2000,1995,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,46860.74907268036,2,5,EAF,1,2000,1995,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,2303297.7054377412,2,5,EAF,2,2000,1995,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,72391.60853219475,2,5,EAF,3,2000,1995,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,4031.1762386993482,2,5,EAF,4,2000,1995,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,20.471864561157226,2,5,EAF,5,2000,1995,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,16813.788916190297,2,5,EAF,6,2000,1995,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,2444.472984538805,2,5,EAF,7,2000,1995,"{""type"":""MultiPoint"",""coordinates"":[]}"
16,1003.4277978125099,2,5,EAF,8,2000,1995,"{""type"":""MultiPoint"",""coordinates"":[]}"
17,80.41422240471647,2,5,EAF,9,2000,1995,"{""type"":""MultiPoint"",""coordinates"":[]}"
18,0.0017879129638671875,2,5,EAF,10,2000,1995,"{""type"":""MultiPoint"",""coordinates"":[]}"
19,27803.307756022416,3,5,EAF,1,2000,1995,"{""type"":""MultiPoint"",""coordinates"":[]}"
20,51076.89592479585,3,5,EAF,2,2000,1995,"{""type"":""MultiPoint"",""coordinates"":[]}"
21,1467902.3776370643,3,5,EAF,3,2000,1995,"{""type"":""MultiPoint"",""coordinates"":[]}"
22,17131.89164779907,3,5,EAF,4,2000,1995,"{""type"":""MultiPoint"",""coordinates"":[]}"
23,186.5204713580605,3,5,EAF,5,2000,1995,"{""type"":""MultiPoint"",""coordinates"":[]}"
24,5147.882430388517,3,5,EAF,6,2000,1995,"{""type"":""MultiPoint"",""coordinates"":[]}"
25,2274.88263048744,3,5,EAF,7,2000,1995,"{""type"":""MultiPoint"",""coordinates"":[]}"
26,3948.879096928975,3,5,EAF,8,2000,1995,"{""type"":""MultiPoint"",""coordinates"":[]}"
27,166.80875197760795,3,5,EAF,9,2000,1995,"{""type"":""MultiPoint"",""coordinates"":[]}"
28,8.939573974609374E-4,3,5,EAF,10,2000,1995,"{""type"":""MultiPoint"",""coordinates"":[]}"
29,9822.212946472771,4,5,EAF,1,2000,1995,"{""type"":""MultiPoint"",""coordinates"":[]}"
30,20441.23227227946,4,5,EAF,2,2000,1995,"{""type"":""MultiPoint"",""coordinates"":[]}"
31,28890.20385266391,4,5,EAF,3,2000,1995,"{""type"":""MultiPoint"",""coordinates"":[]}"
32,782499.9991016181,4,5,EAF,4,2000,1995,"{""type"":""MultiPoint"",""coordinates"":[]}"
33,123.89670788139432,4,5,EAF,5,2000,1995,"{""type"":""MultiPoint"",""coordinates"":[]}"
34,752.0471805007536,4,5,EAF,6,2000,1995,"{""type"":""MultiPoint"",""coordinates"":[]}"
35,2700.6961540021794,4,5,EAF,7,2000,1995,"{""type"":""MultiPoint"",""coordinates"":[]}"
36,11051.954005313337,4,5,EAF,8,2000,1995,"{""type"":""MultiPoint"",""coordinates"":[]}"
37,201.8402341504653,4,5,EAF,9,2000,1995,"{""type"":""MultiPoint"",""coordinates"":[]}"
38,301.5074449680255,6,5,EAF,1,2000,1995,"{""type"":""MultiPoint"",""coordinates"":[]}"
39,4987.40457614701,6,5,EAF,2,2000,1995,"{""type"":""MultiPoint"",""coordinates"":[]}"
40,3203.1557270955745,6,5,EAF,3,2000,1995,"{""type"":""MultiPoint"",""coordinates"":[]}"
41,535.9157120003923,6,5,EAF,4,2000,1995,"{""type"":""MultiPoint"",""coordinates"":[]}"
42,0.8390912124023437,6,5,EAF,5,2000,1995,"{""type"":""MultiPoint"",""coordinates"":[]}"
43,46080.37147888014,6,5,EAF,6,2000,1995,"{""type"":""MultiPoint"",""coordinates"":[]}"
44,11.112239939364565,6,5,EAF,7,2000,1995,"{""type"":""MultiPoint"",""coordinates"":[]}"
45,276.3956458863623,6,5,EAF,8,2000,1995,"{""type"":""MultiPoint"",""coordinates"":[]}"
46,825.1873963916191,6,5,EAF,9,2000,1995,"{""type"":""MultiPoint"",""coordinates"":[]}"
47,910.626675551505,7,5,EAF,1,2000,1995,"{""type"":""MultiPoint"",""coordinates"":[]}"
48,354.65927900307327,7,5,EAF,2,2000,1995,"{""type"":""MultiPoint"",""coordinates"":[]}"
49,681.8576686301391,7,5,EAF,3,2000,1995,"{""type"":""MultiPoint"",""coordinates"":[]}"
50,1007.742354117455,7,5,EAF,4,2000,1995,"{""type"":""MultiPoint"",""coordinates"":[]}"
51,0.21466300299072266,7,5,EAF,5,2000,1995,"{""type"":""MultiPoint"",""coordinates"":[]}"
52,14.877306291316012,7,5,EAF,6,2000,1995,"{""type"":""MultiPoint"",""coordinates"":[]}"
