system:index,area_km2,from_class,interval_duration_yrs,region,to_class,year_final,year_initial,.geo
0,629724.2572491418,1,2,EAF,1,2022,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,11764.591825132533,1,2,EAF,2,2022,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,11942.081707161185,1,2,EAF,3,2022,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,4538.353975039395,1,2,EAF,4,2022,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,27.44462475756836,1,2,EAF,5,2022,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,530.6903825681854,1,2,EAF,6,2022,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,1083.8188406632182,1,2,EAF,7,2022,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,877.5827685819977,1,2,EAF,8,2022,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,74.91072400650204,1,2,EAF,9,2022,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,11381.084367532501,2,2,EAF,1,2022,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,2321266.7276956853,2,2,EAF,2,2022,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,24859.21074492274,2,2,EAF,3,2022,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,4508.582565429117,2,2,EAF,4,2022,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,11.824798048156739,2,2,EAF,5,2022,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,4331.419952657802,2,2,EAF,6,2022,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,429.53949617680087,2,2,EAF,7,2022,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
16,611.4312211774713,2,2,EAF,8,2022,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
17,264.20834356740676,2,2,EAF,9,2022,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
18,12364.628817945853,3,2,EAF,1,2022,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
19,23940.50285176893,3,2,EAF,2,2022,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
20,1535821.2048887955,3,2,EAF,3,2022,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
21,8668.76800486868,3,2,EAF,4,2022,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
22,35.22694431329346,3,2,EAF,5,2022,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
23,4144.659264647224,3,2,EAF,6,2022,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
24,724.749751079877,3,2,EAF,7,2022,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
25,1922.6508798969346,3,2,EAF,8,2022,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
26,551.2402657450856,3,2,EAF,9,2022,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
27,4272.423488449437,4,2,EAF,1,2022,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
28,2576.4415435297146,4,2,EAF,2,2022,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
29,8778.530052649317,4,2,EAF,3,2022,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
30,782941.6976649162,4,2,EAF,4,2022,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
