system:index,area_km2,from_class,interval_duration_yrs,region,to_class,year_final,year_initial,.geo
0,381904.9222420726,1,5,WAF,1,2015,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,15282.510414541197,1,5,WAF,2,2015,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,11002.069355899777,1,5,WAF,3,2015,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,27380.23837286789,1,5,WAF,4,2015,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,3.104219469848633,1,5,WAF,5,2015,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,432.1142466818888,1,5,WAF,6,2015,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,1050.0029889556283,1,5,WAF,7,2015,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,2454.8617591392626,1,5,WAF,8,2015,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,18.066349017693973,1,5,WAF,9,2015,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,21172.670066468436,2,5,WAF,1,2015,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,4397060.741359545,2,5,WAF,2,2015,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,68501.52818675422,2,5,WAF,3,2015,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,13779.376831393178,2,5,WAF,4,2015,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,3.4875339378051757,2,5,WAF,5,2015,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,28765.535925810847,2,5,WAF,6,2015,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,4464.494171562996,2,5,WAF,7,2015,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
16,594.8048672233331,2,5,WAF,8,2015,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
17,577.8067203355677,2,5,WAF,9,2015,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
18,10363.514323757727,3,5,WAF,1,2015,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
19,36402.27083954562,3,5,WAF,2,2015,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
20,818655.6795510369,3,5,WAF,3,2015,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
21,30831.736350032046,3,5,WAF,4,2015,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
22,2.2309418756103514,3,5,WAF,5,2015,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
23,1026.9951460085276,3,5,WAF,6,2015,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
24,1317.9019451340926,3,5,WAF,7,2015,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
25,1041.0712404516544,3,5,WAF,8,2015,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
26,84.51155969466457,3,5,WAF,9,2015,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
27,27674.745628039498,4,5,WAF,1,2015,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
28,12907.052774969412,4,5,WAF,2,2015,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
29,22819.471190212073,4,5,WAF,3,2015,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
30,1016824.4242803956,4,5,WAF,4,2015,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
31,42.05770240826416,4,5,WAF,5,2015,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
32,1959.5384226734532,4,5,WAF,6,2015,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
33,1858.0144787804666,4,5,WAF,7,2015,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
34,15152.656039552843,4,5,WAF,8,2015,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
35,245.2437950360215,4,5,WAF,9,2015,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
36,1.6788002330322265,5,5,WAF,1,2015,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
37,4.477154106384277,5,5,WAF,2,2015,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
38,3.8629986481323244,5,5,WAF,3,2015,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
39,36.22288859247305,5,5,WAF,4,2015,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
40,192.82408315269132,5,5,WAF,5,2015,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
41,0.12292358441162109,5,5,WAF,6,2015,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
42,1.3498527830810547,5,5,WAF,7,2015,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
43,25.13119296894292,5,5,WAF,8,2015,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
44,0.2230183939819336,5,5,WAF,9,2015,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
45,121.77221674065682,6,5,WAF,1,2015,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
46,23614.318712574775,6,5,WAF,2,2015,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
47,547.1384922099923,6,5,WAF,3,2015,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
48,1545.5280146436373,6,5,WAF,4,2015,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
49,0.15435735925292968,6,5,WAF,5,2015,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
50,189136.54454017128,6,5,WAF,6,2015,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
51,52.24120657696916,6,5,WAF,7,2015,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
52,310.422044735811,6,5,WAF,8,2015,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
53,3469.6976730694587,6,5,WAF,9,2015,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
54,469.21301542379916,7,5,WAF,1,2015,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
