system:index,area_km2,from_class,interval_duration_yrs,region,to_class,year_final,year_initial,.geo
0,40753.60890678419,1,5,SAH,1,1990,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,89.72265684553678,1,5,SAH,2,1990,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,191.10727616267278,1,5,SAH,3,1990,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,2591.383694542561,1,5,SAH,4,1990,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,130.55602887211293,1,5,SAH,6,1990,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,99.16903495182915,1,5,SAH,7,1990,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,657.0229119961281,1,5,SAH,8,1990,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,115.91749982972891,1,5,SAH,9,1990,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,42.54719699183685,2,5,SAH,1,1990,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,1687.431120717983,2,5,SAH,2,1990,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,1.2897361392211915,2,5,SAH,3,1990,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,6.753373939712823,2,5,SAH,4,1990,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,23.996691975769043,2,5,SAH,6,1990,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,0.8038648632202149,2,5,SAH,7,1990,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,8.883716634887696,2,5,SAH,8,1990,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,4.7995829953613285,2,5,SAH,9,1990,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
16,88.23224996096192,3,5,SAH,1,1990,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
17,19.202493702853577,3,5,SAH,2,1990,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
18,7100.174759510454,3,5,SAH,3,1990,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
19,177.91988772164618,3,5,SAH,4,1990,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
20,30.09276682434082,3,5,SAH,6,1990,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
21,1.7198005459503773,3,5,SAH,7,1990,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
22,7.694162140720742,3,5,SAH,8,1990,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
23,1.491845862854004,3,5,SAH,9,1990,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
24,2280.9111109217242,4,5,SAH,1,1990,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
25,58.34671568973748,4,5,SAH,2,1990,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
26,271.0000877647085,4,5,SAH,3,1990,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
27,449614.67425224016,4,5,SAH,4,1990,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
28,623.9555590011265,4,5,SAH,6,1990,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
29,60.47744519339695,4,5,SAH,7,1990,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
30,10245.86751117335,4,5,SAH,8,1990,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
31,122.0045145623169,4,5,SAH,9,1990,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
32,42.89926840113717,6,5,SAH,1,1990,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
33,10.715328943322994,6,5,SAH,2,1990,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
34,18.21363760394287,6,5,SAH,3,1990,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
35,127.86138258371966,6,5,SAH,4,1990,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
36,1327.8372255526929,6,5,SAH,6,1990,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
37,0.33150140930917776,6,5,SAH,7,1990,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
38,258.8814913827364,6,5,SAH,8,1990,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
39,613.4199077754222,6,5,SAH,9,1990,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
40,0.522757998914053,7,5,SAH,6,1990,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
41,4105.390105757797,7,5,SAH,7,1990,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
42,0.020142130725097657,7,5,SAH,9,1990,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
43,773.9780054567726,8,5,SAH,1,1990,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
44,16.957829932692825,8,5,SAH,2,1990,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
45,10.589790727783203,8,5,SAH,3,1990,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
46,9592.588801277565,8,5,SAH,4,1990,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
47,822.6280387294124,8,5,SAH,6,1990,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
48,40.37265627030868,8,5,SAH,7,1990,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
49,8238650.088241353,8,5,SAH,8,1990,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
50,447.80389939774506,8,5,SAH,9,1990,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
51,92.17828669742813,9,5,SAH,1,1990,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
52,8.980812156452732,9,5,SAH,2,1990,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
53,1.5164305494384767,9,5,SAH,3,1990,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
54,45.47212505099811,9,5,SAH,4,1990,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
55,852.8723449621943,9,5,SAH,6,1990,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
56,2.67376412335612,9,5,SAH,7,1990,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
57,74.8145179463896,9,5,SAH,8,1990,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
58,9991.84809854536,9,5,SAH,9,1990,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
