system:index,area_km2,from_class,interval_duration_yrs,region,to_class,year_final,year_initial,.geo
0,380042.9761245309,1,5,WAF,1,2020,2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,18663.775272229217,1,5,WAF,2,2020,2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,13213.530466107422,1,5,WAF,3,2020,2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,28929.590110829555,1,5,WAF,4,2020,2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,8.748779222045899,1,5,WAF,5,2020,2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,118.75684040551279,1,5,WAF,6,2020,2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,693.1756581244179,1,5,WAF,7,2020,2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,858.8740165965712,1,5,WAF,8,2020,2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,23.35884051385498,1,5,WAF,9,2020,2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,21496.340777901067,2,5,WAF,1,2020,2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,4348542.858088956,2,5,WAF,2,2020,2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,75597.10976206732,2,5,WAF,3,2020,2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,16873.572512039307,2,5,WAF,4,2020,2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,5.098289142761231,2,5,WAF,5,2020,2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,20870.678939820467,2,5,WAF,6,2020,2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,2671.413017506531,2,5,WAF,7,2020,2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
16,922.992208963299,2,5,WAF,8,2020,2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
17,591.4023847684246,2,5,WAF,9,2020,2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
18,8513.573718647807,3,5,WAF,1,2020,2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
19,39695.95313986226,3,5,WAF,2,2020,2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
20,839574.9230242248,3,5,WAF,3,2020,2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
